level,key,title,parent_key,requirement_id,priority,platform,owner_seat,section
epic,EP-RULES,Product-wide rules: memories not volume; protective defaults,,,,,pm-ba,3.1;3.2
feature,FT-RULES-1,"Celebrate memories, never volume, build-wide",EP-RULES,,,,ux-lead,3.1
task,MEM-1,"Never encourage drinking or reward visit frequency, anywhere",FT-RULES-1,MEM-1,BLOCKING,both,ux-lead,3.1
feature,FT-RULES-2,Protective defaults and the settings register,EP-RULES,,,,engineer,3.2
task,DFLT-1,"Protective defaults, user-changeable, with a CI-checked register",FT-RULES-2,DFLT-1,MUST,both,engineer,3.2
epic,EP-CAP,Automatic visit capture,,,,,cto,4
feature,FT-CAP-1,Native capture pipeline and verifiable teardown,EP-CAP,,,,engineer,4
task,CAP-1,No JavaScript in the visit-recording path,FT-CAP-1,CAP-1,BLOCKING,both,engineer,4
task,CAP-7,Capture stops verifiably when not entitled; teardown idempotent,FT-CAP-1,CAP-7,BLOCKING,both,engineer,4
feature,FT-CAP-2,iOS visit capture,EP-CAP,,,,engineer,4
task,CAP-2,"iOS capture via startMonitoringVisits, with downgrade detection",FT-CAP-2,CAP-2,BLOCKING,ios,engineer,4
feature,FT-CAP-3,Android visit capture,EP-CAP,,,,engineer,4
task,CAP-3,Android capture via a declared location foreground service,FT-CAP-3,CAP-3,BLOCKING,android,engineer,4
feature,FT-CAP-4,"Capture honesty: gaps, reduced accuracy, location denied",EP-CAP,,,,engineer,4
task,CAP-4,"Capture gaps are first-class data, shown inline in plain words",FT-CAP-4,CAP-4,BLOCKING,both,engineer,4
task,CAP-5,Capture works under reduced accuracy and says so,FT-CAP-4,CAP-5,MUST,both,engineer,4
task,CAP-6,"Fully usable with location denied, in every tier",FT-CAP-4,CAP-6,BLOCKING,both,engineer,4
feature,FT-CAP-5,"One capture-failure notification, nothing else",EP-CAP,,,,engineer,4
task,CAP-8,"One notification type only, for capture failure",FT-CAP-5,CAP-8,BLOCKING,both,engineer,4
task,CAP-9,Uncertain-match notification bounded by CAP-8; works if declined,FT-CAP-5,CAP-9,BLOCKING,both,engineer,4
feature,FT-CAP-6,Battery measured on real devices before any claim,EP-CAP,,,,engineer,4
task,CAP-10,Measure battery cost on real devices before any claim,FT-CAP-6,CAP-10,BLOCKING,both,engineer,4
epic,EP-CONF,Confirming visits,,,,,pm-ba,5
feature,FT-CONF-1,"Confirm queue as a pull, not a push",EP-CONF,,,,engineer,5.2
task,CONF-1,"Confirm queue is a pull: no badge, count or completion meter",FT-CONF-1,CONF-1,BLOCKING,both,engineer,5.2
task,CONF-12,Row carries enough context to recognise the visit,FT-CONF-1,CONF-12,MUST,both,engineer,5.2
task,CONF-13,Session- and day-level bulk actions at equal weight,FT-CONF-1,CONF-13,BLOCKING,both,engineer,5.2
task,CONF-14,Repeat same-day visits to one venue collapse to one row,FT-CONF-1,CONF-14,MUST,both,engineer,5.2
task,CONF-15,Candidates expire silently on a published schedule,FT-CONF-1,CONF-15,BLOCKING,both,engineer,5.2
task,CONF-16,"Setting: ""Do not ask me - I will add places myself""",FT-CONF-1,CONF-16,MUST,both,engineer,5.2
feature,FT-CONF-2,"Candidate rows: nearest first, choice never assent",EP-CONF,,,,engineer,5.2;7.7.3
task,CONF-2,Nearest offered by default; options shown when unclear,FT-CONF-2,CONF-2,BLOCKING,both,engineer,5.2
task,CONF-3,Never auto-select a candidate,FT-CONF-2,CONF-3,BLOCKING,both,engineer,5.2
task,CONF-7,"One row, three facts; no confidence number shown",FT-CONF-2,CONF-7,MUST,both,engineer,5.2
task,CONF-10,Mark a previously-chosen venue in its row,FT-CONF-2,CONF-10,MUST,both,engineer,5.2
task,CONF-11,"Sticky choice ranks, never selects (150 m gate)",FT-CONF-2,CONF-11,BLOCKING,both,engineer,5.2
task,VEN-22,No confirmation from a surface without the alternatives,FT-CONF-2,VEN-22,BLOCKING,both,engineer,7.7.3
feature,FT-CONF-3,Venue search in the confirm flow,EP-CONF,,,,engineer,5.2
task,CONF-4,Twenty candidate rows reachable in one action by typing,FT-CONF-3,CONF-4,BLOCKING,both,engineer,5.2
task,CONF-5,"Prefix, incremental name search from the first character",FT-CONF-3,CONF-5,BLOCKING,both,engineer,5.2
task,CONF-6,"Filter, search and ""isn't listed"" always reachable",FT-CONF-3,CONF-6,BLOCKING,both,engineer,5.2
task,CONF-8,Suppress the generic-token dragnet in search results,FT-CONF-3,CONF-8,MUST,both,engineer,5.2
task,CONF-9,Near-miss confusability tested; false-pick rate reported,FT-CONF-3,CONF-9,BLOCKING,both,engineer,5.2
feature,FT-CONF-4,"Note, rating and companions on the confirm row",EP-CONF,,,,engineer,5.2
task,CONF-17,Note field open on the confirm row; venue + date is finished,FT-CONF-4,CONF-17,MUST,both,engineer,5.2
task,CONF-18,"Voice dictation into the note field, on-device",FT-CONF-4,CONF-18,CUT-LINE,both,engineer,5.2
task,CONF-19,Companions as free text with autocomplete from own history,FT-CONF-4,CONF-19,MUST,both,engineer,5.2
epic,EP-SESS,Sessions,,,,,cto,6
feature,FT-SESS-1,Derived sessions with durable overrides,EP-SESS,,,,engineer,6
task,SESS-1,"Sessions derived and recomputable, never stored rows",FT-SESS-1,SESS-1,BLOCKING,both,engineer,6
task,SESS-2,User overrides are durable constraints anchored to visits,FT-SESS-1,SESS-2,BLOCKING,both,engineer,6
task,SESS-9,"Entitlement intervals and gaps are durable, natively readable",FT-SESS-1,SESS-9,BLOCKING,both,engineer,6
feature,FT-SESS-2,"Session queue, split and merge",EP-SESS,,,,engineer,6
task,SESS-3,"Queue groups by session, falling back to day",FT-SESS-2,SESS-3,MUST,both,engineer,6
task,SESS-4,"Split and merge reachable, visible and reversible",FT-SESS-2,SESS-4,MUST,both,engineer,6
task,SESS-5,"Low session confidence is stated, not guessed",FT-SESS-2,SESS-5,MUST,both,engineer,6
